title,review_score,review_summary,review_text,description,authors,publisher,categories
13 Cent Killers: The 5th Marine Snipers in Vietnam,1.0,"Poorly written, bitter, amateurish","John Culbertson is a novice writer who is so desperate to fill pages that he intentionally tells the same story twice; at the beginning and the middle of the book, because the story ""bears repeating."" He blethers on about hippies, Army Generals, The President, the Military-Industrial complex, college professors, the Army and Navy, REMF's, until he reaches the conclusion that himself and his close associates were the only true patriots in the war. The saddest part is that he has logged on to the Amazon review pages and gave his own book a 5-star review (check it out).","“It’s not easy to stay alive with a $1,000 bounty on your head.” In 1967, a bullet cost thirteen cents, and no one gave Uncle Sam a bigger bang for his buck than the 5th Marine Regiment Sniper Platoon. So feared were these lethal marksmen that the Viet Cong offered huge rewards for killing them. Now noted Vietnam author John J. Culbertson, a former 5th Marine sniper himself, presents the riveting true stories of young Americans who fought with bolt rifles and bounties on their heads during the fiercest combat of the war, from 1967 through the desperate Tet battle for Hue in early ’68. In spotter/shooter pairs, sniper teams accompanied battle-hardened Marine rifle companies like the 2/5 on patrols and combat missions. Whether fighting their way out of a Viet Cong “kill zone” or battling superior numbers of NVA crack troops, the sniper teams were at the cutting edge in the art of jungle warfare, showing the patience, stealth, combat marksmanship, and raw courage that made the unit the most decorated regimental sniper platoon in the Vietnam War. Harrowing and unforgettable, these accounts pay tribute to the heroes who made the greatest sacrifice of all–and leave no doubt that among 5th Marine snipers uncommon valor was truly a common virtue.",['John Culbertson'],Presidio Press,['History']
"One Shot (Jack Reacher, No. 9)",5.0,A page turner,"GrGreat story. As usual, great writing. Keeps you guessing from page to page. It's a page turner from very first page.y","Six shots. Five dead. A heartland city thrown into terror. But within hours the cops have it solved. A slam-dunk case. Apart from one thing. The accused gunman refuses to talk except for a single phrase: Get Jack Reacher for me. Reacher lives off the grid. He's not looking for trouble. But sometimes trouble looks for him. What could connect the noble Reacher to this psychopathic killer? _________ Although the Jack Reacher can be read in any order, One Shot is the 9th in the series. And be sure not to miss Reacher's newest adventure, no.26, Better off Dead! ***OUT NOW***",['Lee Child'],Random House,['Fiction']
Jane Eyre,3.0,Had to do it.,Have always wanted to know what this was about. It is written differently so it takes a while to get into it. Its a classic. I liked it.,,['Charlotte Brontë'],,['Literary Criticism']
Pleasuring The Prince,5.0,excellent Regency paranormal romantic suspense,"In 1821 Fancy Flambeau debuts at London's Royal Opera House when Prince Stepan Kasanov asks to see her afterward. She wants to decline because she hates the aristocracy having been deserted by her upper crust sire, but they meet anyway. He also meets her six younger sisters and escorts them home as it is dangerous with the Rose Petal killer preying on performers for women to walk unescorted.Stepan begins seeing Fancy while also being kind to her sisters. At a ball hosted by Stepan's relatives the Duke and Duchess of Inverary, Fancy sings, but is nasty to the Duke who is her father. She tells him she waited by the window anytime it rained for years hoping he would visit, but he never did. He regrets his actions and invites her and his other daughters to live safely with him. Fancy agrees to allow her siblings to stay with the duke, but not her. As Stepan and Fancy fall in love, he worries that the Rose Petal killer targets her so he risks all to keep his beloved safe, but the serial killer proves quite clever.Readers will enjoy the strong likable lead characters and find fascinating the unique paranormal skills of each of the Flambeau sisters though Fancy's constant shrill about the aristocracy can become tiresome. The Rose Petal serial killer provides an interesting subplot that will have the audience wondering who he is. Fans of Regency paranormal romantic suspense will gain immense pleasure from Patricia Grasso's fine work and look forward to future tale starring the siblings.Harriet Klausner",,['Patricia Grasso'],Zebra Books,['Fiction']
Morbid Taste for Bones,3.0,Somewhat Contrived Ending,"This is the first of a series and my first exposure to Brother Cadfael. At the risk of going against the grain of other reviewers here, I was left unimpressed in the end. The book had a very promising start but then bogged down in contrived dialogue to such a degree that I struggled to finish. This series seems to have a large fan base here at Amazon but it's evidently not for me. I gave it a shot but won't continue reading.","The “irresistible” and “compelling” first novel in the historical mystery series featuring a Welsh Benedictine monk in the twelfth century (The Washington Post). A Welsh Benedictine monk living at Shrewsbury Abbey in western England, Brother Cadfael spends much of his time tending the herbs and vegetables in the garden—but now there’s a more pressing matter. Cadfael is to serve as translator for a group of monks heading to the town of Gwytherin in Wales. The team’s goal is to collect the holy remains of Saint Winifred, which Prior Robert hopes will boost the abbey’s reputation, as well as his own. But when the monks arrive in Gwytherin, the town is divided over the request. When the leading opponent to disturbing the grave is found shot dead with a mysterious arrow, some believe Saint Winifred herself delivered the deadly blow. Brother Cadfael knows an earthly hand did the deed, but his plan to root out a murderer may dig up more than he can handle. Before CSI and Law & Order, there was Brother Cadfael, “wily veteran of the Crusades” (Los Angeles Times). His knowledge of herbalism, picked up in the Holy Land, and his skillful observance of human nature are blessings in dire situations, and earned Ellis Peters a Crime Writers’ Association Silver Dagger Award. A Morbid Taste for Bones kicks off a long-running and much-loved series that went on to be adapted for stage, radio, and television.",['Ellis Peters'],Open Road Media,['Fiction']
A PATCHWORK PLANET.,5.0,A very worthwhile summer read:,"Anne Tyler's A Patchwork Planet is one of the most charming books I've read lately. In the Seinfeld mode of really being about nothing, by the end of the book you know its main character very well and you are sorry to have to part with him. She makes you empathize with him, all the while wanting to kick him for his wrong decisions. She lets this character disclaim a number of profundities about the human condition that I will go back and reread in the future. Curl up with it on a rainy day and you will not be sorry!",,,,
Sister Carrie,2.0,I don't know why this is a classic,This book is boring and dull. I had to read it for a class and I don't see what all the fuss is about. The main character is dull and has no values or morals. She is not what I would call a heroine.,"The story of a young woman from Wisconsin who goes to Chicago, becomes an actress, marries and moves to New York, and when her husband loses his job, returns to the stage.",['Theodore Dreiser'],W. W. Norton,['Chicago (Ill.)']
Be More Chill,5.0,A Great Book By A Great Author,This is a really good book. It was so good that i finished reading it in 1 and a half days. It was a really funny book and it was easy to relate to. If you want another great Ned Vizzini book in addition to Be More Chill then i suggest that you buy his book Teen Angst... Naah,"Jeremy Heere is your average high school dork. Day after day, he stares at beautiful Christine, the girl he can never have, and dryly notes the small humiliations that come his way. Until the day he learns about the ""squip."" A pill-sized supercomputer that you swallow, the squip is guaranteed to bring you whatever you most desire in life. By instructing him on everything from what to wear, to how to talk and walk, the squip transforms Jeremy from Supergeek to superchic.",['Ned Vizzini'],Disney Electronic Content,['Juvenile Fiction']
Wish You Well,5.0,Giles County came alive for WISH YOU WELL!,I loved the story. I could hardly make myself put the book down. It also made in enjoyable knowing in was mainly filmed in the area where I live. Really looking forward to the nmmovie.,"Dit is het aangrijpende verhaal van de twaalfjarige Louisa Mae Cardinal, die in New York woont met haar verlegen broertje Oz. Het is 1940 en ze hebben het niet gemakkelijk, want het inkomen van hun vader, die schrijver is, is niet hoog. Maar dat kan Lou niet zoveel schelen, want ze aanbidt haar vader en is gek op zijn verhalen. Maar dan, in één verschrikkelijk moment, verandert Lou's leven voorgoed. Een auto-ongeluk maakt een einde aan hun vaders leven, waardoor zij en Oz moeten verhuizen naar het verre Virginia. Daar, in het isolement van de desolate bergen, komen ze te wonen bij hun excentrieke overgrootmoeder Louisa, Lou's naamgenote. Geplaatst tegenover nieuwe verantwoordelijkheden ziet Lou zich gedwongen snel volwassen te worden. Daar, op haar overgrootmoeders eenvoudige boerderij, op het land waarvan haar vader zo hield en waarover hij steeds weer schreef, ontdekt zij wie zij werkelijk is en wat zij kan betekenen voor deze wereld. En wanneer een vernietigend noodlot hun nieuwe huis treft kan zij de strijd die volgt het hoofd bieden; een strijd die gaat om recht en overleving en die gestreden wordt in een overvolle rechtszaal in Virginia...",['David Baldacci'],A.W. Bruna Uitgevers,['Fiction']
The Lord of the Rings (3 Volume Set),5.0,Best Book Ever Written,"Lord of the Rings is probably the best book ever written. It is so imaginative and draws you in to another world - a world of hobbits, a race of little people, dwarves, men, and Tolkien's noble Elves. It is a lot easier having all three books bound together as one. Everyone should read this book if they want their lives changed forever.","A saga of dwarfs and elves, goblins and trolls in a far-off, long ago land.",['J. R. R. Tolkien'],,"['Baggins, Bilbo (Fictitious character)']"
2001: A Space Odyssey,5.0,one-of-a-kind Clarke chiller/thriller,"Kubrik & Clarke - can't go wrong when they collaborate. Clarke bounced his (always novel) ideas off of Kubrik for the film, which was to be released simultaneously. What resulted was a chilling view of future space discovery and space travel.One point I loved about the book (which one doesn't find in many other books) was the downplay on dialogue. There's not much conversation, just thoughts and descriptions. I don't think many authors could succeed in doing this, but Clarke comes out on top. After all, he is legendary.I was disappointed that HAL 9000 didn't play more of a role though the book. He seemed to be in passing through his death, even though he was clearly an intelligent entity (though lacking wit an attitude). More focus should have been given to the Illinois-borne (boo-yea) AI construct.The ending was a little hard to grasp but, nevertheless, satisfactory.",,['Arthur C. Clarke'],,
Gone with the Wind,5.0,Suprised,"I honestly purchased the kindle edition Of this book by mistake, but decided to give it a go. I'm so glad I did! What a wonderful historical drama. The characters created and the setting during the social and political upheaval of the us civil war makes this book a must read for anyone into historical novels true or not.","'My dear, I don't give a damn.' Margaret Mitchell’s page-turning, sweeping American epic has been a classic for over eighty years. Beloved and thought by many to be the greatest of the American novels, Gone with the Wind is a story of love, hope and loss set against the tense historical background of the American Civil War. The lovers at the novel’s centre – the selfish, privileged Scarlett O’Hara and rakish Rhett Butler – are magnetic: pulling readers into the tangled narrative of a struggle to survive that cannot be forgotten. WINNER OF NATIONAL BOOK AWARD AND PULITZER PRIZE 'For sheer readability I can think of nothing it must give way before' The New Yorker 'What makes some people come through catastrophes and others, apparently just as able, strong, and brave, go under?’ Margaret Mitchell",['Margaret Mitchell'],Random House,['Fiction']
"The Shelters Of Stone - The Earth's Children Series, Book 5",4.0,A good read,"I just finished the book. I was happy that I didn't go back and read the previous books. To me there were parts of the books where it did drag a little, but in all honestly I've never found any of these books that didn't drag a little to me. I did get a little bored about reading how Ayala aquired the horses. Overall in my opinion this books was the best yet. I just really hope we don't have to wait another 12 years for book #6, and I for one will probably be sad to see the series end.","Originally published: New York: Crown, 2002.",['Jean M. Auel'],Bantam Books,['Fiction']
